site,MeanBe,SDBe,MeanCa,SDCa,MeanCo,SDCo,MeanCu,SDCu,MeanLi,SDLi,n
Agriculture,0.8914285714285715,0.061875450936307745,4.8792857142857144,1.9055565077938792,9.1,1.0280676421924175,23.085714285714285,1.7190592878562494,14.721428571428572,0.9680897697000014,14
Forest,0.46071428571428574,0.061702049051412036,1.78,1.5313995609848576,6.792857142857143,1.5137646833254885,13.15,3.4943360764792812,6.464285714285714,0.95321895366509235,14
