,sample_number,site,sample_design,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Te,Th,Tl,U,V,Y,Zn,Zr
29,115,Forest,Grid,0.07,0.57,5.9,20,140,0.39,0.15,4.16,0.39,37.1,7.4,13,0.62,12.3,1.22,1.97,0.06,0.04,0.013,0.17,18.2,6.6,1.55,866,0.82,0.36,19.2,750,8.7,12.6,0.04,0.39,1.7,0.6,0.3,43.9,0.04,2.8,0.2,1.26,34,10.4,70,2.6
30,116,Forest,Grid,0.07,0.64,3.9,20,150,0.43,0.19,1.2,0.37,26,5.8,12,0.43,10.9,0.93,1.93,0.15,0.07,0.016,0.2,12.2,5.8,0.25,782,0.73,0.34,14.6,840,13.9,13.8,0.08,0.29,1.3,1.6,0.4,34.1,0.04,1.4,0.13,0.77,34,7.61,93,5
31,117,Forest,Grid,0.07,0.55,3.5,20,170,0.35,0.2,1.6,0.55,22.1,6,10,0.34,14.2,0.87,1.71,0.12,0.08,0.027,0.2,10.3,5,0.23,975,0.61,0.32,15.5,940,14.2,12,0.1,0.28,1,1.9,0.4,44.5,0.04,1,0.13,0.65,27,6.04,128,4
32,118,Forest,Grid,0.05,0.53,5.7,20,200,0.37,0.13,4.17,0.32,35.4,8.2,12,0.66,10.9,1.16,1.86,0.07,0.04,0.016,0.15,17.1,6.4,1.54,930,0.86,0.34,21.1,720,8.7,11.1,0.07,0.35,1.8,0.7,0.3,42.2,0.04,3.4,0.18,1.16,32,9.96,43,3.2
33,119,Forest,Grid,0.1,0.81,4.5,20,160,0.57,0.22,0.9,0.55,30.1,6.4,15,0.49,17.8,1.21,2.68,0.13,0.07,0.024,0.21,15.2,7.7,0.31,803,0.7,0.41,18.6,780,11.1,14.4,0.04,0.27,1.7,1.2,0.5,27.9,0.04,1.5,0.13,1.27,42,8.47,122,4
34,120,Forest,Grid,0.07,0.82,4.5,20,160,0.53,0.23,0.8,0.47,27.9,6,15,0.53,11.9,1.21,2.57,0.15,0.07,0.021,0.23,13.4,7.4,0.27,947,0.88,0.39,14.4,760,13.1,15.6,0.05,0.25,1.7,0.8,0.5,26.1,0.05,1.6,0.14,1.21,41,7.15,131,4.8
35,121,Forest,Grid,0.07,0.6,3.5,20,250,0.38,0.17,1.46,1.5,25.6,6.4,11,0.43,14.1,1.03,1.89,0.11,0.1,0.015,0.15,11,4.3,0.2,1880,0.75,0.34,14.4,940,14.1,11.9,0.07,0.19,1.1,0.9,0.4,28.9,0.04,1.1,0.12,0.69,26,5.64,318,3.4
36,122,Forest,Grid,0.07,0.49,1.7,20,60,0.35,0.11,4.87,0.21,29.2,4,11,0.59,11.6,0.83,1.65,0.08,0.04,0.013,0.13,13.6,5.6,1.4,277,0.39,0.33,12.4,710,7.1,11.7,0.07,0.3,1.4,2.6,0.3,57.5,0.03,1.6,0.13,1.74,25,9.16,78,3.2
37,123,Forest,Grid,0.06,0.76,4.1,20,150,0.53,0.2,0.76,0.41,31.1,7.6,14,0.6,10.6,1.17,2.41,0.11,0.04,0.02,0.22,15.5,7.2,0.29,819,0.45,0.56,16.2,600,12,15,0.03,0.23,1.7,0.7,0.4,23.3,0.04,1.8,0.13,0.85,43,8.79,102,4.2
38,124,Forest,Grid,0.07,0.76,5.8,20,150,0.5,0.2,0.77,0.43,33.7,7.6,15,0.57,10.6,1.31,2.43,0.12,0.06,0.022,0.21,16.3,7.2,0.3,949,0.76,0.39,18.6,700,12.2,15.5,0.04,0.29,1.7,0.7,0.4,21.2,0.04,1.9,0.17,1.03,41,9.46,95,4.3
39,125,Forest,Grid,0.06,0.58,7.3,10,300,0.41,0.13,4.81,0.32,38.8,8.8,14,0.78,11,1.36,2.01,0.1,0.03,0.019,0.15,18.7,7,1.61,1250,1.07,0.29,22,620,8.9,12.7,0.09,0.34,2,0.7,0.4,58.9,0.04,5,0.19,1.32,34,10.8,52,5.1
40,126,Forest,Grid,0.08,0.58,6.6,20,170,0.38,0.15,3.54,0.44,34.4,8,12,0.69,12.3,1.21,1.97,0.09,0.04,0.018,0.16,17.1,6.9,1.31,953,1.05,0.37,21.1,570,9,14,0.08,0.37,1.8,0.7,0.3,44.1,0.04,2.9,0.19,1.19,32,10.25,63,3.7
