"record_number","sample_name","measurement_date_time","dx_10","dx_50","dx_80","dx_90","specific_surface_area","result_below_2_mm","result_in_range_2_10_mm","result_above_63_mm","sampling_design","sample_number","Site"
24,"Average of '34'","7/26/2021 15:12",1.765247799,5.351056604,11.57215191,17.80254125,1760.435564,12.74634893,62.73936077,0.057490138,"Grid",34,"Agriculture"
28,"Average of '35'","7/26/2021 15:19",1.955866446,6.062069604,13.3958796,20.0404022,1542.598031,10.49010298,59.84576402,0.124604712,"Grid",35,"Agriculture"
8,"Average of '36'","7/26/2021 15:27",1.803631387,5.58439945,12.11461175,18.64922211,1688.907317,12.21978057,61.67738112,0.37239843,"Grid",36,"Agriculture"
12,"Average of '37'","7/26/2021 15:38",1.513338776,5.229813628,12.2364716,21.31828328,1956.056481,15.30250154,59.27607532,0.648045299,"Grid",37,"Agriculture"
16,"Average of '38'","7/26/2021 15:46",1.599787232,5.352525877,12.73659896,22.05908992,1860.924692,14.45222681,59.05793143,0.535170627,"Grid",38,"Agriculture"
20,"Average of '39'","7/27/2021 13:18",1.672700099,5.24812641,11.87323661,19.40565536,1823.706212,13.87097257,61.25915711,0.597021195,"Grid",39,"Agriculture"
24,"Average of '40'","7/27/2021 13:26",1.701563511,5.360700592,12.20554242,19.38973465,1806.015253,13.45874251,60.75931383,0.284202685,"Grid",40,"Agriculture"
28,"Average of '41'","7/27/2021 13:40",1.799481592,5.887814471,14.31551117,22.57355378,1658.481697,12.25925898,57.27600889,0.447575081,"Grid",41,"Agriculture"
32,"Average of '42'","7/27/2021 13:48",1.822299433,5.746913063,13.26891727,20.87315871,1662.670225,12.02082673,59.53667989,0.214380502,"Grid",42,"Agriculture"
4,"Average of '43'","7/27/2021 13:55",1.727240942,5.935479428,13.25990556,19.98127477,1713.570372,12.82364094,57.92257786,0.294392167,"Grid",43,"Agriculture"
8,"Average of '44'","7/27/2021 14:15",1.750688827,5.34015761,13.45068445,24.00443957,1759.91545,13.02074808,59.64592422,0.992070313,"Grid",44,"Agriculture"
12,"Average of '45'","7/27/2021 14:37",1.615736355,5.485392045,14.22665197,25.9744005,1836.603387,14.26463652,57.12069833,1.132086253,"Grid",45,"Agriculture"
16,"Average of '46'","7/27/2021 14:46",1.76379959,5.562578524,13.10509224,21.95121918,1728.447953,12.64527106,59.80793295,0.857765809,"Grid",46,"Agriculture"
20,"Average of '47'","7/27/2021 14:54",1.826139006,5.715355328,13.4236393,21.18470876,1677.838143,11.98221025,59.39567917,0.387580023,"Grid",47,"Agriculture"
24,"Average of '48'","7/27/2021 15:01",1.881955805,6.038242375,13.97054495,21.49875176,1607.247112,11.33977536,58.26863892,0.351544534,"Grid",48,"Agriculture"
28,"Average of '49'","7/27/2021 15:09",1.986016876,6.378805509,15.06559066,22.68292359,1492.840951,10.14864955,56.95543707,0.169123273,"Grid",49,"Agriculture"
